id,sno,state,district,factly_nam,category,type,facility_i,iso_minus_,iso_confm_,iso_suspec,o2suported,total_icu,ventilator,o2_manifol,ppe,n95,bio_med_wa,address,result_num,status,formatted_,place_id,location_t,lat,long,row_number,layer,path,faclty_nam,date
1897,1897,Maharashtra,THANE,"Jondhale College
,shahapur",DCCC,"Other than
Hospital",17152,30,30,0,0,0,0,0,65,75,1,"Jondhale College
,shahapur THANE Maharashtra",,,,ChIJvWW6ToKE5zsRWYBaMiC-vBQ,,19.4460972,73.3140042,2459,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1898,1898,Maharashtra,THANE,"TMC: Shreeram
Hospital",DCCC,Hospital,26033,20,20,0,5,0,0,1,400,1000,1,"TMC: Shreeram
Hospital THANE Maharashtra",,,,ChIJbbvxj6e75zsReLRy8Root98,,19.276297,72.960009,2460,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1899,1899,Maharashtra,THANE,"Presidency school
Padaga ,Bhivandi",DCCC,"Other than
Hospital",25138,200,100,100,0,0,0,0,15,24,1,"Presidency school
Padaga ,Bhivandi THANE Maharashtra",,,,ChIJy9DHmcqX5zsRCdDUkKgMOa0,,19.2932781,73.1108269,2462,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1900,1900,Maharashtra,THANE,Swami Vivekananad Multiperpal Buldg. SEC 14 VASHI (NMMC),DCCC,Other than Hospital,17246,108,108,0,0,0,0,0,250,210,1,Swami Vivekananad Multiperpal Buldg. SEC 14 VASHI (NMMC) THANE Maharashtra,,,,ChIJLxpuWzDB5zsRoZTHHFArW4M,,19.0832975,73.0028915,2463,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1901,1901,Maharashtra,THANE,"ETC Building (
NMMC)",DCCC,"Other than
Hospital",24252,140,140,0,0,0,0,0,200,400,1,"ETC Building (
NMMC) THANE Maharashtra",,,,ChIJkRYIqbW45zsRScBD8d-4oeI,,19.1623947,72.990091,2465,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1903,1903,Maharashtra,THANE,BSUP Sagarli,DCCC,"Other than
Hospital",26043,94,94,0,0,0,0,0,1880,4700,1,BSUP Sagarli THANE Maharashtra,,,,ChIJYypV43K_5zsRWdUyiuqXP34,,19.16651,73.031315,2467,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1904,1904,Maharashtra,THANE,Bethany Hospital,DCCC,Hospital,26006,14,14,0,14,10,12,1,700,1000,1,Bethany Hospital THANE Maharashtra,,,,ChIJxSa8-ES55zsRvNKf9sas9hQ,,19.2198343,72.9617448,2468,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1905,1905,Maharashtra,THANE,"TMC: Aarogya
Hospital",DCCC,Hospital,26032,20,20,0,5,0,0,1,400,1000,1,"TMC: Aarogya
Hospital THANE Maharashtra",,,,ChIJ7YxWPke55zsRlX95uro1UIk,,19.2111808,72.9770581,2470,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1906,1906,Maharashtra,THANE,"TMC: Pramila
Hospital",DCCC,Hospital,26018,19,19,0,19,6,1,1,500,750,1,"TMC: Pramila
Hospital THANE Maharashtra",,,,ChIJGRXhIcy-5zsR1gAj15Q4IlM,,19.2044106,72.9988695,2471,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1907,1907,Maharashtra,THANE,India Bulls (NMMC),DCCC,"Other than
Hospital",24250,1500,600,900,0,0,0,0,3000,4000,1,India Bulls (NMMC) THANE Maharashtra,,,,ChIJWf12_vy45zsRgwLF94V9Ns8,,19.2183307,72.9780897,2472,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1908,1908,Maharashtra,THANE,BSUP Brahmand,DCCC,"Other than
Hospital",26042,90,0,90,0,0,0,0,1800,4500,1,BSUP Brahmand THANE Maharashtra,,,,ChIJ-QrfLyaU5zsRG7beYWLEpUk,,19.2452613,73.1473151,2473,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1909,1909,Maharashtra,THANE,"TMC: Ekta Hospital
LLP & ICCU",DCCC,Hospital,26031,20,20,0,20,0,0,1,400,1000,1,"TMC: Ekta Hospital
LLP & ICCU THANE Maharashtra",,,,ChIJM_-mKVC55zsRT8thp_zj368,,19.211174,72.979031,2476,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
2146,2146,Maharashtra,DHULE,"MukeshBhai Patel
 Town Hall,Shirpur",DCCC,"Other than
 Hospital",30253,50,25,25,0,0,0,0,20,50,1,"MukeshBhai Patel
 Town Hall,Shirpur DHULE Maharashtra",0,OK,"Karwand Naka, Shahada Rd, Varvade, Shirpur, Maharashtra 425405, India",ChIJ24T1Ixst3zsRoQdqhRwW0vM,GEOMETRIC_CENTER,21.3531784,74.8925449,,,,,15th September 2020
1910,1910,Maharashtra,THANE,Reliance Life Science IT Park (NMMC),DCCC,Hospital,24249,100,100,0,0,0,0,0,100,200,1,Reliance Life Science IT Park (NMMC) THANE Maharashtra,,,,ChIJ____j6jA5zsRLcpkKe7zqtg,,19.1395118,73.0043675,2479,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1911,1911,Maharashtra,THANE,Dosti Planet,DCCC,"Other than
Hospital",26041,340,0,340,0,0,0,0,6800,1700,1,Dosti Planet THANE Maharashtra,,,,ChIJSS_uK6K_5zsRjqXKBSj19-I,,19.1535915,73.0352771,2480,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1912,1912,Maharashtra,THANE,"TMC: Thane health
Care",DCCC,Hospital,26000,41,41,0,41,12,3,1,2500,3500,1,"TMC: Thane health
Care THANE Maharashtra",,,,ChIJwd8bw-O75zsRtrbfWUs95UE,,19.2365939,72.9764368,2481,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1913,1913,Maharashtra,THANE,"TMC: Medicare
Hospital",DCCC,Hospital,26030,18,18,0,3,2,1,1,400,1000,1,"TMC: Medicare
Hospital THANE Maharashtra",,,,ChIJm7J3JRG55zsRp20gB8eWXlQ,,19.2001178,72.9629775,2482,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1914,1914,Maharashtra,WARDHA,"Late. Laxmanrao
Mankar Adivasi Hostel, Seloo",DCCC,Other than Hospital,24325,100,20,80,0,0,0,0,5,20,1,"Late. Laxmanrao
Mankar Adivasi Hostel, Seloo WARDHA Maharashtra",,,,ChIJd-DdDd6G1DsRvZOwwE9H8kI,,20.8367151,78.7073391,2483,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1915,1915,Maharashtra,WARDHA,"Government
Residential Hostel, Wardha",DCCC,Other than Hospital,17161,310,62,248,0,0,0,0,5,20,1,"Government
Residential Hostel, Wardha WARDHA Maharashtra",,,,ChIJ16wLNQR_1DsRLI3NVV8qKII,,20.751858,78.604507,2484,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1916,1916,Maharashtra,WARDHA,"Tibal Girls Hostel,
Hinganghat",DCCC,"Other than
Hospital",24344,100,20,80,0,0,0,0,5,20,1,"Tibal Girls Hostel,
Hinganghat WARDHA Maharashtra",,,,ChIJUUugjAxv0zsRzaEjILUkbqw,,20.5411821,78.8442233,2485,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
