st_x,st_y,name1_,timeperiod,area_id,indicator_,unit_id,subgroup_i,data_value
93.99833942681764,26.49781985034464,Nagaland,19,26,157,2,5,18730
75.50966489747921,30.68628126217852,Punjab,19,19,157,2,2,69897
93.99833942681764,26.49781985034464,Nagaland,19,26,157,2,2,78
75.50966489747921,30.68628126217852,Punjab,19,19,157,2,6,171722
93.99833942681764,26.49781985034464,Nagaland,19,26,157,2,6,19824
75.50966489747921,30.68628126217852,Punjab,19,19,157,2,7,80482
93.99833942681764,26.49781985034464,Nagaland,19,26,157,2,3,13961
75.50966489747921,30.68628126217852,Punjab,19,19,157,2,3,90431
93.99833942681764,26.49781985034464,Nagaland,19,26,157,2,7,5307
75.50966489747921,30.68628126217852,Punjab,19,19,157,2,15,96179
91.43303227403669,24.09373127118113,Tripura,19,13,157,2,5,11369
75.50966489747921,30.68628126217852,Punjab,19,19,157,2,4,68876
91.43303227403669,24.09373127118113,Tripura,19,13,157,2,1,4313
75.50966489747921,30.68628126217852,Punjab,19,19,157,2,14,75152
76.81125971598217,30.564546619737992,Chandigarh,19,11,157,2,6,7337
91.43303227403669,24.09373127118113,Tripura,19,13,157,2,2,4775
79.08959646504087,30.000490443101437,Uttarakhand,19,30,157,2,6,120456
92.53637659290843,23.641737770491975,Mizoram,19,29,157,2,5,9037
81.84328728666891,21.309780852251308,Chhattisgarh,19,6,157,2,15,247381
81.84328728666891,21.309780852251308,Chhattisgarh,19,6,157,2,3,362685
79.08959646504087,30.000490443101437,Uttarakhand,19,30,157,2,7,36743
92.53637659290843,23.641737770491975,Mizoram,19,29,157,2,4,107
81.84328728666891,21.309780852251308,Chhattisgarh,19,6,157,2,7,74169
81.84328728666891,21.309780852251308,Chhattisgarh,19,6,157,2,6,445851
79.08959646504087,30.000490443101437,Uttarakhand,19,30,157,2,3,83508
92.53637659290843,23.641737770491975,Mizoram,19,29,157,2,1,213
78.02857040843428,23.569931658239113,Madhya Pradesh,19,25,157,2,14,759519
79.08959646504087,30.000490443101437,Uttarakhand,19,30,157,2,15,67437
92.53637659290843,23.641737770491975,Mizoram,19,29,157,2,7,3416
78.02857040843428,23.569931658239113,Madhya Pradesh,19,25,157,2,5,414420
79.08959646504087,30.000490443101437,Uttarakhand,19,30,157,2,14,53368
92.53637659290843,23.641737770491975,Mizoram,19,29,157,2,6,9394
78.02857040843428,23.569931658239113,Madhya Pradesh,19,25,157,2,4,336777
79.08959646504087,30.000490443101437,Uttarakhand,19,30,157,2,4,30677
91.43303227403669,24.09373127118113,Tripura,19,13,157,2,6,28953
78.02857040843428,23.569931658239113,Madhya Pradesh,19,25,157,2,1,670135
78.02857040843428,23.569931658239113,Madhya Pradesh,19,25,157,2,2,174527
78.02857040843428,23.569931658239113,Madhya Pradesh,19,25,157,2,15,873836
78.02857040843428,23.569931658239113,Madhya Pradesh,19,25,157,2,6,1627029
78.02857040843428,23.569931658239113,Madhya Pradesh,19,25,157,2,7,392408
78.02857040843428,23.569931658239113,Madhya Pradesh,19,25,157,2,3,1230780
71.32861595567637,22.958027704907305,Gujarat,19,9,157,2,2,190910
71.32861595567637,22.958027704907305,Gujarat,19,9,157,2,1,436509
71.32861595567637,22.958027704907305,Gujarat,19,9,157,2,5,181950
71.32861595567637,22.958027704907305,Gujarat,19,9,157,2,4,96840
71.32861595567637,22.958027704907305,Gujarat,19,9,157,2,14,441733
79.08959646504087,30.000490443101437,Uttarakhand,19,30,157,2,5,6129
91.43303227403669,24.09373127118113,Tripura,19,13,157,2,7,5403
71.32861595567637,22.958027704907305,Gujarat,19,9,157,2,15,517773
71.32861595567637,22.958027704907305,Gujarat,19,9,157,2,3,610059
71.32861595567637,22.958027704907305,Gujarat,19,9,157,2,7,327709
71.32861595567637,22.958027704907305,Gujarat,19,9,157,2,6,956845
79.08959646504087,30.000490443101437,Uttarakhand,19,30,157,2,1,32420
91.43303227403669,24.09373127118113,Tripura,19,13,157,2,3,22529
72.74603488447734,20.450577345477285,Dadra and Nagar Haveli,19,12,157,2,6,8216
75.81019586205966,19.657233416274913,Maharashtra,19,31,157,2,3,694066
75.81019586205966,19.657233416274913,Maharashtra,19,31,157,2,14,485652
79.08959646504087,30.000490443101437,Uttarakhand,19,30,157,2,2,48546
91.43303227403669,24.09373127118113,Tripura,19,13,157,2,4,7877
75.81019586205966,19.657233416274913,Maharashtra,19,31,157,2,15,628316
75.81019586205966,19.657233416274913,Maharashtra,19,31,157,2,4,242383
75.81019586205966,19.657233416274913,Maharashtra,19,31,157,2,5,201559
75.81019586205966,19.657233416274913,Maharashtra,19,31,157,2,2,361663
75.81019586205966,19.657233416274913,Maharashtra,19,31,157,2,1,282495
75.81019586205966,19.657233416274913,Maharashtra,19,31,157,2,7,408037
75.81019586205966,19.657233416274913,Maharashtra,19,31,157,2,6,1118052
75.78567761983722,14.911933375121952,Karnataka,19,34,157,2,4,232228
75.78567761983722,14.911933375121952,Karnataka,19,34,157,2,2,63202
75.78567761983722,14.911933375121952,Karnataka,19,34,157,2,1,449529
75.78567761983722,14.911933375121952,Karnataka,19,34,157,2,5,109826
76.34667246568723,29.043002630169113,Haryana,19,14,157,2,7,150913
75.78567761983722,14.911933375121952,Karnataka,19,34,157,2,14,365539
